model_a,model_b,mode,recall_floor,thr_a,thr_b,accuracy,macro_f1,score,ontime_recall,delay_recall,cancel_recall,model_a_prauc,model_b_prauc,balanced
A_2to1_focal,B_1to1,macro_f1,0.4,0.01,0.11,0.1,0.0981,0.0981,0.0804,0.049,0.9493,0.106,0.3629,0.09312633000000001
A_2to1_focal,B_1to1,cost_sensitive,0.4,0.01,0.1,0.0973,0.0976,0.0724,0.0755,0.0538,0.9493,0.106,0.3629,0.09265168000000001
A_2to1_focal,B_1to1,macro_f1,0.5,0.01,0.11,0.1,0.0981,0.0981,0.0804,0.049,0.9493,0.106,0.3629,0.09312633000000001
A_2to1_focal,B_1to1,cost_sensitive,0.5,0.01,0.1,0.0973,0.0976,0.0724,0.0755,0.0538,0.9493,0.106,0.3629,0.09265168000000001
A_2to1_logistic,B_original,macro_f1,0.0,0.05,0.18,0.6935,0.4484,0.4484,0.7985,0.3942,0.1538,0.1185,0.366,0.06896392
A_2to1_logistic,B_original,cost_sensitive,0.0,0.05,0.16,0.6847,0.4478,0.2438,0.78,0.419,0.1538,0.1185,0.366,0.06887164
A_2to1_logistic,B_original,macro_f1,0.25,0.02,0.17,0.6551,0.4295,0.4295,0.7516,0.3612,0.2926,0.1185,0.366,0.1256717
A_2to1_logistic,B_original,cost_sensitive,0.25,0.02,0.15,0.635,0.4272,0.2262,0.7108,0.4122,0.2926,0.1185,0.366,0.12499872000000002
A_2to1_logistic,B_original,macro_f1,0.3,0.01,0.12,0.1936,0.1721,0.1721,0.1979,0.0798,0.8823,0.1185,0.366,0.15184382999999999
A_2to1_logistic,B_original,cost_sensitive,0.3,0.01,0.1,0.1749,0.1682,0.0974,0.1639,0.1133,0.8823,0.1185,0.366,0.14840286
A_2to1_logistic,B_original,macro_f1,0.35,0.01,0.12,0.1936,0.1721,0.1721,0.1979,0.0798,0.8823,0.1185,0.366,0.15184382999999999
A_2to1_logistic,B_original,cost_sensitive,0.35,0.01,0.1,0.1749,0.1682,0.0974,0.1639,0.1133,0.8823,0.1185,0.366,0.14840286
A_2to1_logistic,B_original,macro_f1,0.4,0.01,0.12,0.1936,0.1721,0.1721,0.1979,0.0798,0.8823,0.1185,0.366,0.15184382999999999
A_2to1_logistic,B_original,cost_sensitive,0.4,0.01,0.1,0.1749,0.1682,0.0974,0.1639,0.1133,0.8823,0.1185,0.366,0.14840286
